Русский язык,,,,,,,,,,,,,,История,,,,,,,Физика,,,,,,,,,,,,,,Информатика,,,,,,,,,,,,,,Обществознание,,,,,,,,,,,,,,,Математика,,,,,,,,,,,,
ЕГЭ,,,,,,,ОГЭ,,,,,,,ЕГЭ,,,,,,,ЕГЭ,,,,,,,ОГЭ,,,,,,,ЕГЭ,,,,,,,ОГЭ,,,,,,,ЕГЭ,,,,,,,ОГЭ,,,,,,,,ЕГЭ,,,,,,,ОГЭ,,,,,
№,дата,формат,кол-во заданий,кол-во заданий (сумма),готово?,,№,дата,формат,кол-во заданий,кто делает,готово?,,№,дата,формат,кол-во заданий,кто делает,готово?,,№,дата,формат,кол-во заданий,кто делает,готово?,,№,дата,формат,кол-во заданий,кто делает,готово?,,№,дата,формат,кол-во заданий,кто делает,готово?,,№,дата,формат,кол-во заданий,кто делает,готово?,,№,дата,тема,кол-во заданий,кто делает,готово?,,№,дата,раздел,тема,кол-во заданий,кто делает,готово?,,№,дата,формат,кол-во заданий,кто делает,готово?,,№,дата,формат,кол-во заданий,кто делает,готово?
21,05.05,с 23 по 26,по 2,8,TRUE,,21,26.04,15 (ЕГЭ),5,Даша,TRUE,,21,17.05,"6, 8, 9-12",по 1,,TRUE,,21,15.05,17,8,,FALSE,,21,15.05,13,по 15,,FALSE,,21,12.05,22,5,,TRUE,,,,,,,,,11,01.05,Экономика 2.6 Конкуренция и её виды. Монополия. Антимонопольная политика,10,,TRUE,,,,Экономика,Рынок и рыночный механизм. Спрос и предложение,10,,FALSE,,21,25.04,1 2 3 4 6 7 9 10 12 3 16,11,,TRUE,,21,15.05,6-14 + 15-19,10,,TRUE
22,06.05,с 1 по 3,по 3,9,TRUE,,22,27.04,6 (ОГЭ),7,Даша,TRUE,,22,18.05,"1-5, 7",по 1,,TRUE,,22,16.05,18,12,,FALSE,,22,16.05,14,по 10,,FALSE,,22,13.05,23,6,,TRUE,,,,,,,,,,,Экономика 2.7 Рынок труда. Заработная плата. Безработица и её виды,10,,TRUE,,12,06.05,Экономика,Конкуренция и монополия,10,,FALSE,,22,26.04,1 3 3 5 6 7 8 9 10 12 13,11,,TRUE,,22,16.05,6-14 + 15-19,10,,TRUE
23,07.05,с 4 по 8,"по 3 (4-7), по 1 (8)",13,TRUE,,23,28.04,6 (ОГЭ),7,Даша,TRUE,,23,19.05,"1-5, 7",по 1,,TRUE,,23,17.05,19,14,,FALSE,,23,17.05,14,по 10,,FALSE,,23,14.05,24,4,,TRUE,,,,,,,,,12,02.05,Экономика 2.8 Предприятие (фирма). Издержки и прибыль. Постоянные и переменные затраты,10,,TRUE,,,,Экономика,Предпринимательство. Малое предпринимательство,10,,FALSE,,23,27.04,1 2 3 3 4 6 7 9 10  12 15,11,,TRUE,,23,17.05,6-14 + 15-19,10,,TRUE
24,08.05,с 9 по 15,по 2,14,TRUE,,24,29.04,7 (ОГЭ),7,Даша,TRUE,,24,20.05,"1-5, 7",по 1,,TRUE,,24,18.05,20,14,,FALSE,,24,18.05,15,по 20,,FALSE,,24,15.05,25,5,,TRUE,,,,,,,,,,,Экономика 2.9 Предпринимательство и его формы,10,,TRUE,,13,07.05,Экономика,"Производство, производительность труда",10,,FALSE,,24,28.04,1 3 3  5 6 7 8 9 10 12 16,11,,TRUE,,24,18.05,6-14 + 15-19,10,,TRUE
25,09.05,с 16 по 21,по 2,12,TRUE,,25,30.04,7 (ОГЭ),7,Даша,TRUE,,25,21.05,"1-5, 7",по 1,,TRUE,,25,19.05,1-6,по 2,,FALSE,,25,19.05,16,по 15,,FALSE,,25,16.05,26,2,,TRUE,,,,,,,,,13,03.05,Экономика 2.10 Финансовые институты. Банковская система,10,,TRUE,,,,Экономика,"Издержки, выручка, прибыль",10,,FALSE,,25,29.04,1 2 3 3 4 6 7 9 10 12 13,11,,TRUE,,25,19.05,6-14 + 15-19,10,,TRUE
26,10.05,22,5,5,TRUE,,26,01.05,"6, 7 (ОГЭ)",по 5,Даша,TRUE,,26,22.05,"1-5, 7",по 1,,TRUE,,26,20.05,7-10,по 3,,FALSE,,26,20.05,1-5,по 2,,FALSE,,26,17.05,26,2,,TRUE,,,,,,,,,,,"Экономика 2.11 Инфляция: виды, причины и последствия",10,,TRUE,,14,08.05,Экономика,Заработная плата и стимулирование труда,10,,FALSE,,26,30.04,1 3 3 5 6 7 8 9 10 12 15,11,,TRUE,,26,20.05,6-14 + 15-19,10,,TRUE
27,11.05,с 23 по 26,по 2,8,TRUE,,27,02.05,"6, 7 (ОГЭ)",по 5,Даша,TRUE,,27,23.05,"1-5, 7",по 1,,TRUE,,27,21.05,11-15,по 2,,FALSE,,27,21.05,6-11,по 3,,FALSE,,27,18.05,27,3,,TRUE,,,,,,,,,14,04.05,Экономика 2.12 Экономический рост и развитие. Понятие ВВП,10,,TRUE,,,,Экономика,"Налоги, уплачиваемые гражданами",10,,FALSE,,27,01.05,1 2 3 3 4 6 7  9 10 12 16,11,,TRUE,,27,21.05,6-14 + 15-19,10,,TRUE
28,12.05,"1-3, 22",по 2,10,TRUE,,28,03.05,"6, 7 (ОГЭ)",по 5,Даша,TRUE,,28,24.05,"6, 8, 9-12",по 1,,TRUE,,28,22.05,16-17,по 5,,FALSE,,28,22.05,12-16,по 2,,FALSE,,28,19.05,"1, 4, 7, 11, 12, 15",по 1,,TRUE,,,,,,,,,,,Экономика 2.13 Роль государства в экономике. Общественные блага,10,,TRUE,,15,09.05,Экономика,Деньги. Функции денег,10,,FALSE,,28,02.05,1 3 3 5 6 7 8 9 10 12 13,11,,TRUE,,28,22.05,6-14 + 15-19,10,,TRUE
29,13.05,"4-8, 9-15",по 1,12,TRUE,,29,04.05,8 (ОГЭ),15,Даша,TRUE,,,,,,,,,29,23.05,18,12,,FALSE,,29,23.05,1-11,по 1,,FALSE,,29,20.05,"3, 10, 18, 22",по 1,,TRUE,,,,,,,,,15,05.05,Экономика 2.14 Налоги. Государственный бюджет,10,,TRUE,,,,Экономика,"Банковские услуги, предоставляемые гражданам",10,,FALSE,,29,03.05,1 2 3 3 4 6 7 9 10 12 15,11,,TRUE,,29,23.05,6-14 + 15-19,10,,TRUE
30,14.05,"4-8, 16-21",по 1,11,TRUE,,30,05.05,8 (ОГЭ),15,Даша,TRUE,,,"Задания 2, 8, 9, 10, 11 - макс. 1 балл

Задания 1, 3, 5, 6, 7, 12 - макс. 2 балла:
2 - 0 ошибок
1 - 1 ошибка
0 - 2+ ошибок

Задание 4 - макс. 3 балла:
3 - 0 ошибок
2 - 1 ошибка
1 - 2-3 ошибки
0 - 4+ ошибок",,,,,,30,24.05,19-20,по 5,,FALSE,,30,24.05,12-16,по 1,,FALSE,,30,21.05,"2, 15, 16, 23",по 1,,TRUE,,,,,,,,,,,Экономика 2.15 Мировая экономика. Международное разделение труда,10,,TRUE,,16,10.05,Экономика,Страховые услуги,10,,FALSE,,30,04.05,1 3 3 6 7 8 9 10 11 12 16,11,,TRUE,,30,24.05,6-14 + 15-19,10,,TRUE
